Date,Description,Debit,Credit
2024-01-02,Salary Credit,,85000
2024-01-03,BigBasket Grocery Order,2340,
2024-01-04,Swiggy Order,450,
2024-01-05,Uber Ride,230,
2024-01-06,Netflix Subscription,649,
2024-01-07,Airtel Mobile Recharge,599,
2024-01-08,Zomato Food Delivery,380,
2024-01-09,Amazon Online Shopping,3200,
2024-01-10,Petrol Fuel Station,2500,
2024-01-11,Apollo Pharmacy Medical,890,
2024-01-12,PVR Cinema Movie Ticket,680,
2024-01-14,BigBasket Grocery,1800,
2024-01-15,Uber Ride,180,
2024-01-16,Restaurant Dining Out,1200,
2024-01-17,BESCOM Electricity Bill,2100,
2024-01-18,Swiggy Order,520,
2024-01-20,Flipkart Shopping,4500,
2024-01-21,Ola Cab,350,
2024-01-22,Spotify Premium,119,
2024-01-23,Doctor Consultation Fee,800,
2024-01-24,Zomato Order,290,
2024-01-25,Metro Card Recharge,500,
2024-01-26,Supermarket Groceries,3100,
2024-01-28,Cafe Coffee Day,340,
2024-01-29,Amazon Purchase,28000,
2024-01-30,Jio Broadband Bill,999,
2024-01-31,Uber Ride,420,
2024-02-01,Salary Credit,,87000
2024-02-02,BigBasket Order,2100,
2024-02-03,Swiggy Delivery,480,
2024-02-04,Rapido Bike Taxi,90,
2024-02-05,INOX Movie Ticket,720,
2024-02-06,Grocery Supermarket,2800,
2024-02-07,Airtel Bill,599,
2024-02-08,Zomato Food,350,
2024-02-09,Myntra Clothing,3800,
2024-02-10,Petrol Bunk,2200,
2024-02-11,Fortis Hospital,5500,
2024-02-12,Netflix,649,
2024-02-14,Valentine Dinner Restaurant,4500,
2024-02-15,Uber Cab,310,
2024-02-16,Amazon Shopping,1800,
2024-02-17,Water Bill,450,
2024-02-18,Swiggy Instamart,890,
2024-02-20,Book My Show Event,1200,
2024-02-21,Ola Ride,270,
2024-02-22,BigBasket Grocery,2400,
2024-02-23,Coffee Cafe,280,
2024-02-24,Zepto Grocery,1100,
2024-02-25,Insurance Premium,3500,
2024-02-26,Spotify,119,
2024-02-27,Uber Ride,390,
2024-02-28,Freelance Income,,15000
2024-03-01,Salary Credit,,87000
2024-03-02,Grocery Store,2600,
2024-03-03,Swiggy Order,410,
2024-03-04,Metro Recharge,500,
2024-03-05,Amazon Purchase,6500,
2024-03-06,Electricity Bill BESCOM,2300,
2024-03-07,Zomato Delivery,320,
2024-03-08,Myntra Sale Shopping,8900,
2024-03-09,Rapido Cab,150,
2024-03-10,Pharmacy Medical,760,
2024-03-11,Netflix Monthly,649,
2024-03-12,Restaurant Lunch,980,
2024-03-13,Petrol Station,2400,
2024-03-14,Airtel Recharge,599,
2024-03-15,PVR Movie,850,
2024-03-16,Zepto Order,670,
2024-03-17,Uber Auto,210,
2024-03-18,Hospital Checkup,2200,
2024-03-19,BigBasket,2100,
2024-03-20,Spotify,119,
2024-03-21,Jio Bill,999,
2024-03-22,Cafe Latte,290,
2024-03-23,Amazon Shopping,45000,
2024-03-25,Book My Show,650,
2024-03-26,Swiggy Food,540,
2024-03-27,Ola Outstation,1800,
2024-03-28,Supermarket Grocery,3200,
2024-03-29,Insurance LIC,5000,
2024-03-30,Dividend Income,,2500
2024-03-31,Uber Ride,280,
